#k-distance eigenvalue[eV]
1.57590977 -12.07120000
1.58420405 -12.07620000
1.59249830 -12.08130000
1.60079257 -12.08640000
1.60908683 -12.09140000
1.61738110 -12.09650000
1.62567535 -12.10150000
1.63396963 -12.10660000
1.64226388 -12.11150000
1.65055815 -12.11650000
1.65885241 -12.12140000
1.66714668 -12.12620000
1.67544093 -12.13100000
1.68373520 -12.13580000
1.69202946 -12.14040000
1.70032373 -12.14500000
1.70861798 -12.14950000
1.71691226 -12.15390000
1.72520651 -12.15820000
1.73350078 -12.16250000
1.74179504 -12.16660000
1.75008931 -12.17060000
1.75838356 -12.17450000
1.76667784 -12.17830000
1.77497209 -12.18190000
1.78326636 -12.18550000
1.79156062 -12.18890000
1.79985489 -12.19220000
1.80814914 -12.19530000
1.81644342 -12.19830000
1.82473767 -12.20120000
1.83303194 -12.20390000
1.84132619 -12.20640000
1.84962047 -12.20880000
1.85791472 -12.21110000
1.86620899 -12.21320000
1.87450325 -12.21510000
1.88279752 -12.21690000
1.89109177 -12.21850000
1.89938605 -12.22000000
1.90768030 -12.22130000
1.91597457 -12.22240000
1.92426883 -12.22330000
1.93256310 -12.22410000
1.94085735 -12.22470000
1.94915163 -12.22510000
1.95744588 -12.22540000
1.96574015 -12.22550000
1.96574015 -12.22550000
1.98010624 -12.22640000
1.99447235 -12.22930000
2.00883844 -12.23400000
2.02320455 -12.24060000
2.03757064 -12.24900000
2.05193673 -12.25930000
2.06630284 -12.27130000
2.08066893 -12.28510000
2.09503504 -12.30060000
2.10940113 -12.31770000
2.12376722 -12.33640000
2.13813333 -12.35670000
2.15249942 -12.37840000
2.16686551 -12.40150000
2.18123162 -12.42600000
2.19559771 -12.45170000
2.20996383 -12.47860000
2.22432991 -12.50670000
2.23869600 -12.53580000
2.25306212 -12.56590000
2.26742820 -12.59690000
2.28179432 -12.62870000
2.29616041 -12.66130000
2.31052649 -12.69460000
2.32489261 -12.72840000
2.33925870 -12.76290000
2.35362481 -12.79780000
2.36799090 -12.83310000
2.38235699 -12.86880000
2.39672310 -12.90470000
2.41108919 -12.94090000
2.42545530 -12.97720000
2.43982139 -13.01360000
2.45418748 -13.05000000
2.46855359 -13.08640000
2.48291968 -13.12270000
2.49728579 -13.15890000
2.51165188 -13.19480000
2.52601797 -13.23060000
2.54038408 -13.26610000
2.55475017 -13.30120000
2.56911626 -13.33590000
2.58348237 -13.37030000
2.59784846 -13.40410000
2.61221457 -13.43750000
2.62658066 -13.47030000
2.64094675 -13.50250000
2.65531286 -13.53410000
2.66967895 -13.56500000
2.68404506 -13.59530000
2.69841115 -13.62480000
2.71277724 -13.65350000
2.72714335 -13.68150000
2.74150944 -13.70870000
2.75587555 -13.73500000
2.77024164 -13.76040000
2.78460773 -13.78500000
2.79897384 -13.80860000
2.81333993 -13.83130000
2.82770604 -13.85300000
2.84207213 -13.87370000
2.85643822 -13.89340000
2.87080433 -13.91210000
2.88517042 -13.92970000
2.89953653 -13.94630000
2.91390262 -13.96180000
2.92826871 -13.97620000
2.94263482 -13.98960000
2.95700091 -14.00170000
2.97136700 -14.01280000
2.98573311 -14.02270000
3.00009920 -14.03150000
3.01446531 -14.03920000
3.02883140 -14.04560000
3.04319749 -14.05090000
3.05756360 -14.05500000
3.07192969 -14.05800000
3.08629580 -14.05980000
3.10066189 -14.06040000

0.00000000 -12.75480000
0.01658854 -12.75440000
0.03317705 -12.75350000
0.04976559 -12.75190000
0.06635409 -12.74960000
0.08294264 -12.74670000
0.09953114 -12.74320000
0.11611968 -12.73900000
0.13270819 -12.73420000
0.14929673 -12.72880000
0.16588523 -12.72280000
0.18247377 -12.71620000
0.19906228 -12.70900000
0.21565082 -12.70110000
0.23223932 -12.69270000
0.24882787 -12.68380000
0.26541637 -12.67420000
0.28200491 -12.66410000
0.29859342 -12.65350000
0.31518196 -12.64240000
0.33177046 -12.63070000
0.34835901 -12.61860000
0.36494751 -12.60600000
0.38153605 -12.59290000
0.39812456 -12.57940000
0.41471310 -12.56540000
0.43130160 -12.55100000
