#k-distance eigenvalue[eV]
2.82724630 -13.89450000
2.84175750 -13.91820000
2.85626873 -13.94100000
2.87077993 -13.96270000
2.88529113 -13.98330000
2.89980235 -14.00290000
2.91431355 -14.02140000
2.92882478 -14.03870000
2.94333598 -14.05500000
2.95784718 -14.07000000
2.97235840 -14.08400000
2.98686960 -14.09670000
3.00138080 -14.10830000
3.01589203 -14.11870000
3.03040323 -14.12790000
3.04491445 -14.13590000
3.05942565 -14.14270000
3.07393686 -14.14820000
3.08844808 -14.15250000
3.10295928 -14.15560000
3.11747051 -14.15750000
3.13198171 -14.15810000

0.00000000 -12.82910000
0.01675610 -12.82870000
0.03351217 -12.82770000
0.05026827 -12.82600000
0.06702434 -12.82370000
0.08378044 -12.82070000
0.10053650 -12.81700000
0.11729261 -12.81260000
0.13404867 -12.80760000
0.15080478 -12.80190000
0.16756084 -12.79560000
0.18431694 -12.78870000
0.20107301 -12.78110000
0.21782911 -12.77290000
0.23458518 -12.76410000
0.25134128 -12.75470000
0.26809734 -12.74470000
0.28485345 -12.73410000
0.30160951 -12.72300000
0.31836562 -12.71130000
0.33512168 -12.69910000
0.35187778 -12.68630000
0.36863385 -12.67310000
0.38538995 -12.65940000
0.40214602 -12.64520000
0.41890212 -12.63050000
0.43565818 -12.61540000
0.45241429 -12.59990000
0.46917035 -12.58400000
0.48592646 -12.56780000
0.50268252 -12.55110000
0.51943862 -12.53420000
0.53619469 -12.51690000
0.55295079 -12.49940000
0.56970686 -12.48160000
0.58646296 -12.46360000
0.60321902 -12.44540000
0.61997513 -12.42700000
0.63673119 -12.40840000
0.65348730 -12.38970000
0.67024336 -12.37090000
0.68699946 -12.35210000
0.70375553 -12.33320000
0.72051163 -12.31430000
0.73726770 -12.29540000
0.75402380 -12.27660000
0.77077986 -12.25790000
0.78753597 -12.23930000
0.80429203 -12.22090000
0.82104814 -12.20260000
0.83780420 -12.18460000
0.85456030 -12.16680000
0.87131637 -12.14930000
0.88807247 -12.13210000
0.90482854 -12.11530000
0.92158464 -12.09890000
0.93834070 -12.08290000
0.95509681 -12.06730000
0.97185287 -12.05230000
0.98860898 -12.03770000
1.00536504 -12.02370000
1.02212114 -12.01030000
1.03887721 -11.99750000
1.05563331 -11.98540000
1.07238938 -11.97390000
1.08914548 -11.96310000
1.10590154 -11.95300000
1.12265765 -11.94360000
1.13941371 -11.93490000
1.15616982 -11.92700000
1.17292588 -11.91990000
1.18968198 -11.91350000
1.20643805 -11.90790000
1.22319415 -11.90310000
1.23995022 -11.89900000
1.25670632 -11.89580000
1.27346238 -11.89320000
1.29021849 -11.89140000
1.30697455 -11.89040000
1.32373066 -11.89000000
1.32373066 -11.89000000
1.33210871 -11.89010000
1.34048674 -11.89040000
1.34886480 -11.89080000
1.35724283 -11.89140000
1.36562088 -11.89210000
1.37399892 -11.89300000
1.38237697 -11.89410000
1.39075500 -11.89530000
1.39913306 -11.89660000
1.40751109 -11.89810000
1.41588914 -11.89970000
1.42426718 -11.90140000
1.43264523 -11.90330000
1.44102327 -11.90520000
1.44940132 -11.90730000
1.45777935 -11.90950000
1.46615741 -11.91190000
1.47453544 -11.91430000
1.48291349 -11.91680000
1.49129153 -11.91940000
1.49966958 -11.92200000
1.50804761 -11.92480000
1.51642567 -11.92760000
1.52480370 -11.93050000
1.53318176 -11.93350000
1.54155979 -11.93650000
1.54993784 -11.93960000
1.55831588 -11.94270000
1.56669393 -11.94580000
